HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image_url,Answer.annotatedResult.boundingBoxes,Answer.annotatedResult.inputImageProperties.height,Answer.annotatedResult.inputImageProperties.width,Approve,Reject
30EMX9PEVKPEKVL50YN88XK92L7KSH,3CU3NNU956RGVPSFSWVCGCZT5SJLJL,Draw bounding boxes around jersey number digits,Draw bounding boxes around jersey number digits,digit bounding box,$0.02,Sun Mar 22 14:24:49 PDT 2020,1,BatchId:3965272;OriginalHitTemplateId:928390838;,60,259200,Tue Mar 24 14:24:49 PDT 2020,,,3VFJCI1K40504EM2LK7Q9FJ5IJ0GRY,A3OPUNTS88DRNE,Submitted,Sun Mar 22 14:30:54 PDT 2020,Sun Mar 22 14:31:17 PDT 2020,Wed Mar 25 14:31:17 PDT 2020,,,,23,0% (0/0),0% (0/0),0% (0/0),https://cs691-football-dataset.s3.amazonaws.com/402.jpg_bb2.jpg,"[{""height"":31,""label"":""1"",""left"":104,""top"":88,""width"":19},{""height"":34,""label"":""7"",""left"":114,""top"":87,""width"":22}]",256,256,x,
3UL5XDRDNCPTJSLTFDDXPH1QT1585K,3CU3NNU956RGVPSFSWVCGCZT5SJLJL,Draw bounding boxes around jersey number digits,Draw bounding boxes around jersey number digits,digit bounding box,$0.02,Sun Mar 22 14:24:49 PDT 2020,1,BatchId:3965272;OriginalHitTemplateId:928390838;,60,259200,Tue Mar 24 14:24:49 PDT 2020,,,3I02618YA1CYXJ7ISXSI8ZKHQ9RPUF,A5531882JI1TA,Submitted,Sun Mar 22 14:30:03 PDT 2020,Sun Mar 22 14:30:38 PDT 2020,Wed Mar 25 14:30:38 PDT 2020,,,,35,0% (0/0),0% (0/0),0% (0/0),https://cs691-football-dataset.s3.amazonaws.com/402.jpg_bb4.jpg,"[{""height"":35,""label"":""4"",""left"":113,""top"":71,""width"":46},{""height"":43,""label"":""4"",""left"":134,""top"":41,""width"":38}]",256,256,,No digits were accurately labelled
37MQ8Z1JQE2GZ1TOAY9TQNMG26H2YR,3CU3NNU956RGVPSFSWVCGCZT5SJLJL,Draw bounding boxes around jersey number digits,Draw bounding boxes around jersey number digits,digit bounding box,$0.02,Sun Mar 22 14:24:49 PDT 2020,1,BatchId:3965272;OriginalHitTemplateId:928390838;,60,259200,Tue Mar 24 14:24:49 PDT 2020,,,3IOEN3P9S8PAEGYFBDJPRXO3K7316L,A19VF0AVOVX8K3,Submitted,Sun Mar 22 14:26:25 PDT 2020,Sun Mar 22 14:26:42 PDT 2020,Wed Mar 25 14:26:42 PDT 2020,,,,17,0% (0/0),0% (0/0),0% (0/0),https://cs691-football-dataset.s3.amazonaws.com/402.jpg_bb5.jpg,"[{""height"":47,""label"":""3"",""left"":99,""top"":50,""width"":34}]",256,256,x,
37J05LC5AXPD7MW5LNS7CJYWMTXDJH,3CU3NNU956RGVPSFSWVCGCZT5SJLJL,Draw bounding boxes around jersey number digits,Draw bounding boxes around jersey number digits,digit bounding box,$0.02,Sun Mar 22 14:24:49 PDT 2020,1,BatchId:3965272;OriginalHitTemplateId:928390838;,60,259200,Tue Mar 24 14:24:49 PDT 2020,,,39RP059MEIZDGH1Z0QJVM5YYWJ8MBY,A34QVV6QUHYMST,Submitted,Sun Mar 22 14:26:45 PDT 2020,Sun Mar 22 14:27:00 PDT 2020,Wed Mar 25 14:27:00 PDT 2020,,,,15,0% (0/0),0% (0/0),0% (0/0),https://cs691-football-dataset.s3.amazonaws.com/403.jpg_bb0.jpg,"[{""height"":54,""label"":""1"",""left"":64,""top"":54,""width"":21},{""height"":48,""label"":""5"",""left"":89,""top"":67,""width"":24}]",256,256,x,
3JYPJ2TAYIE6RHDZ76SHXFNT75JFPU,3CU3NNU956RGVPSFSWVCGCZT5SJLJL,Draw bounding boxes around jersey number digits,Draw bounding boxes around jersey number digits,digit bounding box,$0.02,Sun Mar 22 14:24:49 PDT 2020,1,BatchId:3965272;OriginalHitTemplateId:928390838;,60,259200,Tue Mar 24 14:24:49 PDT 2020,,,3ZV9H2YQQED4IYR0PZACDK2D6T9W38,A1QDMUI51EV5TG,Submitted,Sun Mar 22 14:26:30 PDT 2020,Sun Mar 22 14:26:54 PDT 2020,Wed Mar 25 14:26:54 PDT 2020,,,,24,0% (0/0),0% (0/0),0% (0/0),https://cs691-football-dataset.s3.amazonaws.com/606.jpg_bb1.jpg,"[{""height"":31,""label"":""0"",""left"":123,""top"":66,""width"":24},{""height"":30,""label"":""9"",""left"":108,""top"":63,""width"":18}]",256,256,x,
3JUDR1D0D6X7QZ22JOSZD1JE3X0Q2C,3CU3NNU956RGVPSFSWVCGCZT5SJLJL,Draw bounding boxes around jersey number digits,Draw bounding boxes around jersey number digits,digit bounding box,$0.02,Sun Mar 22 14:24:49 PDT 2020,1,BatchId:3965272;OriginalHitTemplateId:928390838;,60,259200,Tue Mar 24 14:24:49 PDT 2020,,,31QNSG6A5SZBTGW5T8XWCLB7TOT78A,AAVU4RQ25D551,Submitted,Sun Mar 22 14:28:15 PDT 2020,Sun Mar 22 14:28:22 PDT 2020,Wed Mar 25 14:28:22 PDT 2020,,,,7,0% (0/0),0% (0/0),0% (0/0),https://cs691-football-dataset.s3.amazonaws.com/403.jpg_bb6.jpg,[],256,256,,No digits were accurately labelled
3IJ95K7NDXIC2WXH2BL7BBIA85ING5,3CU3NNU956RGVPSFSWVCGCZT5SJLJL,Draw bounding boxes around jersey number digits,Draw bounding boxes around jersey number digits,digit bounding box,$0.02,Sun Mar 22 14:24:49 PDT 2020,1,BatchId:3965272;OriginalHitTemplateId:928390838;,60,259200,Tue Mar 24 14:24:49 PDT 2020,,,3WR9XG3T64HAAF93H57JV9V2R2X470,A1N3KDPBCGQ3EG,Submitted,Sun Mar 22 14:27:35 PDT 2020,Sun Mar 22 14:27:54 PDT 2020,Wed Mar 25 14:27:54 PDT 2020,,,,19,0% (0/0),0% (0/0),0% (0/0),https://cs691-football-dataset.s3.amazonaws.com/403.jpg_bb7.jpg,"[{""height"":40,""label"":""4"",""left"":128,""top"":43,""width"":20},{""height"":34,""label"":""2"",""left"":151,""top"":60,""width"":30}]",256,256,x,
3C8QQOM6JP70AN0RGM5VJVR1INAILQ,3CU3NNU956RGVPSFSWVCGCZT5SJLJL,Draw bounding boxes around jersey number digits,Draw bounding boxes around jersey number digits,digit bounding box,$0.02,Sun Mar 22 14:24:49 PDT 2020,1,BatchId:3965272;OriginalHitTemplateId:928390838;,60,259200,Tue Mar 24 14:24:49 PDT 2020,,,3EF8EXOTT21M2BDMVWDE01T86DNJ19,A3OPUNTS88DRNE,Submitted,Sun Mar 22 14:31:17 PDT 2020,Sun Mar 22 14:31:32 PDT 2020,Wed Mar 25 14:31:32 PDT 2020,,,,15,0% (0/0),0% (0/0),0% (0/0),https://cs691-football-dataset.s3.amazonaws.com/608.jpg_bb0.jpg,"[{""height"":42,""label"":""5"",""left"":95,""top"":65,""width"":27},{""height"":37,""label"":""7"",""left"":118,""top"":61,""width"":28}]",256,256,x,
3P7QK0GJ3TRG4R3T6KBC4UVI80L2ZI,3CU3NNU956RGVPSFSWVCGCZT5SJLJL,Draw bounding boxes around jersey number digits,Draw bounding boxes around jersey number digits,digit bounding box,$0.02,Sun Mar 22 14:24:50 PDT 2020,1,BatchId:3965272;OriginalHitTemplateId:928390838;,60,259200,Tue Mar 24 14:24:50 PDT 2020,,,3LOTDFNYA85ZYA7T9UBEETRA9JFWFI,A3ODZJPMUOLZ4K,Submitted,Sun Mar 22 14:31:51 PDT 2020,Sun Mar 22 14:32:02 PDT 2020,Wed Mar 25 14:32:02 PDT 2020,,,,11,0% (0/0),0% (0/0),0% (0/0),https://cs691-football-dataset.s3.amazonaws.com/403.jpg_bb9.jpg,"[{""height"":27,""label"":""2"",""left"":115,""top"":42,""width"":22},{""height"":25,""label"":""1"",""left"":136,""top"":47,""width"":20}]",256,256,x,
3M47JKRKCX7P2WL7KWN2HNFQPWG860,3CU3NNU956RGVPSFSWVCGCZT5SJLJL,Draw bounding boxes around jersey number digits,Draw bounding boxes around jersey number digits,digit bounding box,$0.02,Sun Mar 22 14:24:49 PDT 2020,1,BatchId:3965272;OriginalHitTemplateId:928390838;,60,259200,Tue Mar 24 14:24:49 PDT 2020,,,3I3WADAZ9RAZR452CW7VBNNBHN3O5G,AQCLZQH954EAF,Submitted,Sun Mar 22 14:35:33 PDT 2020,Sun Mar 22 14:35:57 PDT 2020,Wed Mar 25 14:35:57 PDT 2020,,,,24,0% (0/0),0% (0/0),0% (0/0),https://cs691-football-dataset.s3.amazonaws.com/608.jpg_bb3.jpg,"[{""height"":33,""label"":""5"",""left"":92,""top"":56,""width"":25},{""height"":44,""label"":""4"",""left"":113,""top"":54,""width"":27}]",256,256,x,
