Wall time,Step,Value
1586699773.5477612,0,0.45344066619873047
1586700090.2836196,1,0.2772675156593323
1586700343.5911164,2,0.2280283123254776
1586700599.4749484,3,0.1936086267232895
1586700857.4102945,4,0.171077162027359
1586701115.1306958,5,0.14936098456382751
1586701378.756193,6,0.1357153356075287
1586701639.5337603,7,0.12458471208810806
1586701900.4074335,8,0.11379203200340271
1586702159.3494694,9,0.10536911338567734
1586702422.8202422,10,0.09561445564031601
1586702684.2282972,11,0.0917949452996254
1586702947.6579013,12,0.08540722727775574
1586703205.3388925,13,0.07889094203710556
1586703466.0142949,14,0.07232005894184113
