Wall time,Step,Value
1586699773.5477433,0,0.2402516007423401
1586700090.2835813,1,0.1823149025440216
1586700343.591098,2,0.15527065098285675
1586700599.4749086,3,0.13663426041603088
1586700857.4102733,4,0.11826256662607193
1586701115.130654,5,0.10019019991159439
1586701378.7561538,6,0.0883452370762825
1586701639.5337389,7,0.07834634184837341
1586701900.4073834,8,0.06967093050479889
1586702159.3494272,9,0.06186102330684662
1586702422.820219,10,0.0554044246673584
1586702684.228252,11,0.049525149166584015
1586702947.6578772,12,0.04659711942076683
1586703205.3388486,13,0.041395895183086395
1586703466.0142663,14,0.03675244748592377
